taxon_crisp,taxon_sp,taxon,series
P2_MR_Eucalyptus_aspatilis_11086_P2_MR_F04,Eucalyptus_aspratilis,Eucalyptus_aspratilis,Erectae
P1_MR_Eucalyptus_eemophila_10723_P1_MR_D09,Eucalyptus_eremophila,Eucalyptus_eremophila,Erectae
Euc_P6_Eucalyptus_mimica,Eucalyptus_mimica,Eucalyptus_mimica,Erectae
Euc_P6_Eucalyptus_platypus,Eucalyptus_platypus,Eucalyptus_platypus,Erectae
Euc_P4_Eucalyptus_potensa_14_D07,Eucalyptus_protensa,Eucalyptus_protensa,Erectae
euc_spathulata_Cs368_P12MR_18,Eucalyptus_spathulata,Eucalyptus_spathulata,Erectae
Euc_P4_Eucalyptus_steedmanii_585_E08,Eucalyptus_steedmanii,Eucalyptus_steedmanii,Erectae
P1_MR_Eucalyptus_stowadii_10765_P1_MR_B11,Eucalyptus_stowardii,Eucalyptus_stowardii,Erectae
Euc_P6_Eucalyptus_suggandis,Eucalyptus_suggrandis,Eucalyptus_suggrandis,Erectae
P1_MR_Eucalyptus_obliqua_9414_P1_MR_C01,Eucalyptus_obliqua,Eucalyptus_obliqua,Eucalyptus
P3_MR_Eucalyptus_ammophila_11413_P3_MR_F08,Eucalyptus_ammophila,Eucalyptus_ammophila,Exsertae
Euc_P4_Eucalyptus_amplifolia,Eucalyptus_amplifolia,Eucalyptus_amplifolia,Exsertae
P1_MR_Eucalyptus_apodophylla,Eucalyptus_apodophylla,Eucalyptus_apodophylla,Exsertae
P1_MR_Eucalyptus_bigaleita_10552_P1_MR_G03,Eucalyptus_bigalerita,Eucalyptus_bigalerita,Exsertae
P1_MR_Eucalyptus_camaldulensis_10583_P1_MR_E05,Eucalyptus_camaldulensis,Eucalyptus_camaldulensis,Exsertae
Euc_P6_Eucalyptus_camaldulensis,Eucalyptus_camaldulensis,Eucalyptus_camaldulensis,Exsertae
P4_MR_Eucalyptus_dealbata_11487_P4_MR_A03,Eucalyptus_dealbata,Eucalyptus_dealbata,Exsertae
Euc_P4_Eucalyptus_dealbata_212_B10,Eucalyptus_dealbata,Eucalyptus_dealbata,Exsertae
