thornhill_tip_label,taxon,taxon_sp
Eucalyptus_muelleriana_159,Eucalyptus_muelleriana,Eucalyptus_muelleriana
Eucalyptus_baxteri_8701806,Eucalyptus_baxteri,Eucalyptus_baxteri
Eucalyptus_globoidea_729,Eucalyptus_globoidea,Eucalyptus_globoidea
Eucalyptus_olsenii_762144,Eucalyptus_olsenii,Eucalyptus_olsenii
Eucalyptus_lacrimans_251,Eucalyptus_lacrimans,Eucalyptus_lacrimans
Eucalyptus_elata_ANBG_73059,Eucalyptus_elata,Eucalyptus_elata
Eucalyptus_radiata_subsp_radiata_732,Eucalyptus_radiata_radiata,Eucalyptus_radiata
Eucalyptus_pauciflora_subsp_pauciflora_ANBG_9303293,Eucalyptus_pauciflora_pauciflora,Eucalyptus_pauciflora
Eucalyptus_oreades_747,Eucalyptus_oreades,Eucalyptus_oreades
Eucalyptus_fraxinoides_751650,Eucalyptus_fraxinoides,Eucalyptus_fraxinoides
Eucalyptus_burgessiana_ANBG_no_sn,Eucalyptus_burgessiana,Eucalyptus_burgessiana
Eucalyptus_cunninghamii_9806132,Eucalyptus_cunninghamii,Eucalyptus_cunninghamii
Eucalyptus_delegatensis_subsp_delegatensis_CANB_499445,Eucalyptus_delegatensis_delegatensis,Eucalyptus_delegatensis
Eucalyptus_fastigata_8603812,Eucalyptus_fastigata,Eucalyptus_fastigata
Eucalyptus_stricta_309,Eucalyptus_stricta,Eucalyptus_stricta
Eucalyptus_paliformis_CANB_460597,Eucalyptus_paliformis,Eucalyptus_paliformis
Eucalyptus_moorei_subsp_moorei_9600762,Eucalyptus_moorei_moorei,Eucalyptus_moorei
Eucalyptus_stellulata_9102880,Eucalyptus_stellulata,Eucalyptus_stellulata
Eucalyptus_kybeanensis_AHT_E19,Eucalyptus_kybeanensis,Eucalyptus_kybeanensis
Eucalyptus_gregsoniana_157,Eucalyptus_gregsoniana,Eucalyptus_gregsoniana
Eucalyptus_obliqua_Royal_Canberra_Golf_AHT21,Eucalyptus_obliqua,Eucalyptus_obliqua
Eucalyptus_dives_ANBG_7809979,Eucalyptus_dives,Eucalyptus_dives
Eucalyptus_conglomerata,Eucalyptus_conglomerata,Eucalyptus_conglomerata
Eucalyptus_mckieana_248,Eucalyptus_mckieana,Eucalyptus_mckieana
Eucalyptus_laevopinea_245,Eucalyptus_laevopinea,Eucalyptus_laevopinea
Eucalyptus_youmanii_73091,Eucalyptus_youmanii,Eucalyptus_youmanii
Eucalyptus_olida_738,Eucalyptus_olida,Eucalyptus_olida
Eucalyptus_approximans_subsp_codonocarpa_69702,Eucalyptus_approximans_codonocarpa,Eucalyptus_approximans
Eucalyptus_deuaensis_151,Eucalyptus_deuaensis,Eucalyptus_deuaensis
Eucalyptus_macrorhyncha_subsp_macrorhyncha_761,Eucalyptus_macrorhyncha_macrorhyncha,Eucalyptus_macrorhyncha
Eucalyptus_bensonii_Mt_Annan_830911,Eucalyptus_bensonii,Eucalyptus_bensonii
Eucalyptus_eugenioides_578,Eucalyptus_eugenioides,Eucalyptus_eugenioides
Eucalyptus_ligustrina_736,Eucalyptus_ligustrina,Eucalyptus_ligustrina
Eucalyptus_blaxlandii_8001329,Eucalyptus_blaxlandii,Eucalyptus_blaxlandii
Eucalyptus_haemastoma_Mt_Annan_20051000,Eucalyptus_haemastoma,Eucalyptus_haemastoma
Eucalyptus_tenella_763,Eucalyptus_tenella,Eucalyptus_tenella
Eucalyptus_apiculata_613,Eucalyptus_apiculata,Eucalyptus_apiculata
Eucalyptus_ralla_250,Eucalyptus_ralla,Eucalyptus_ralla
Eucalyptus_capitellata_260,Eucalyptus_capitellata,Eucalyptus_capitellata
Eucalyptus_williamsiana_261,Eucalyptus_williamsiana,Eucalyptus_williamsiana
Eucalyptus_oblonga_255,Eucalyptus_oblonga,Eucalyptus_oblonga
Eucalyptus_agglomerata_673,Eucalyptus_agglomerata,Eucalyptus_agglomerata
